,^DJI,^HSI,^FCHI
2023-01-03,13.824725510373677,13.756746528161322,10.92544638093302
2023-01-04,-7.644862305954582,-9.797011377330007,-7.390918715196852
2023-01-05,-9.04154195044399,-11.858151246903613,-8.607952319365095
2023-01-06,-5.742533677795191,-1.2840074048485624,-5.130336147111374
2023-01-09,-11.747082537711542,-11.060306077720249,-16.789290474441845
2023-01-10,24.263391651166064,19.530518794588293,27.56318287387215
2023-01-11,11.633989394133646,7.168418962184135,10.625230391919413
2023-01-12,-0.7755814957831528,5.819168280901175,2.880963713644518
2023-01-13,7.60481949966897,14.113697773453364,12.780021243868422
2023-01-16,4.734277105586576,-6.819024029567773,-3.11553426267852
2023-01-17,2.442619438849261,8.040144692534758,6.374640467263846
2023-01-18,12.62017332338796,0.9080298679641017,1.3467530279106104
2023-01-19,3.7054406439239247,-12.65260090985799,-10.285615130151497
2023-01-20,-5.777938025096133,17.400564066632157,11.724496174635775
2023-01-23,4.481076751221122,3.704840320483992,1.4913673404383783
2023-01-24,-18.904900965224776,5.9650463613462605,2.54137037580331
2023-01-25,3.9821130226524484,-14.805338151368277,-11.66687231254202
2023-01-26,2.8575928097195376,4.124932388499631,-1.9596167569718146
2023-01-27,-8.038747881690314,4.550071682522382,5.877352487061605
2023-01-30,-5.960102436596932,-3.9716057736764854,-6.4465063634949376
2023-01-31,2.668856408302427,7.157528684565644,3.4330955416024223
2023-02-01,-8.864958132178113,-1.6976293168420669,1.6214309838789052
